Num,Category,Name,Notes
,Introduction,Background,
,Geography,Location,
,Geography,Geographic coordinates,
,Geography,Map references,
,Geography,Area,
,Geography,Area - comparative,
,Geography,Land boundaries,
,Geography,Coastline,
,Geography,Maritime claims,
,Geography,Climate,
,Geography,Terrain,
,Geography,Elevation extremes,
,Geography,Natural resources,
,Geography,Land use,
,Geography,Irrigated land,
,Geography,Total renewable water resources,
,Geography,Freshwater withdrawal (domestic/industrial/agricultural),
,Geography,Natural hazards,
,Geography,Environment - current issues,
,Geography,Environment - international agreements,
,Geography,Geography - note,
,People and Society,Nationality,
,People and Society,Ethnic groups,
,People and Society,Languages,
,People and Society,Religions,
,People and Society,Population,
,People and Society,Age structure,
,People and Society,Dependency ratios,
,People and Society,Median age,
,People and Society,Population growth rate,
,People and Society,Birth rate,
,People and Society,Death rate,
,People and Society,Net migration rate,
,People and Society,Urbanization,
,People and Society,Major urban areas - population,
,People and Society,Sex ratio,
,People and Society,Infant mortality rate,
,People and Society,Life expectancy at birth,
,People and Society,Total fertility rate,
,People and Society,Contraceptive prevalence rate,
,People and Society,Health expenditures,
,People and Society,Physicians density,
,People and Society,Hospital bed density,
,People and Society,Drinking water source,
,People and Society,Sanitation facility access,
,People and Society,HIV/AIDS - adult prevalence rate,
,People and Society,HIV/AIDS - people living with HIV/AIDS,
,People and Society,HIV/AIDS - deaths,
,People and Society,Obesity - adult prevalence rate,
,People and Society,Education expenditures,
,People and Society,School life expectancy (primary to tertiary education),
,People and Society,"Unemployment, youth ages 15-24",
,Government,Country name,
,Government,Government type,
,Government,Capital,
,Government,Administrative divisions,
,Government,Independence,
,Government,National holiday,
,Government,Constitution,
,Government,Legal system,
,Government,International law organization participation,
,Government,Suffrage,
,Government,Executive branch,
,Government,Legislative branch,
,Government,Judicial branch,
,Government,Political parties and leaders,
,Government,Political pressure groups and leaders,
,Government,International organization participation,
,Government,Diplomatic representation in the US,
,Government,Diplomatic representation from the US,
,Government,Flag description,
,Government,National symbol(s),
,Government,National anthem,
,Economy,Economy - overview,
,Economy,GDP (purchasing power parity),
,Economy,GDP (official exchange rate),
,Economy,GDP - real growth rate,
,Economy,GDP - per capita (PPP),
,Economy,Gross national saving,
,Economy,"GDP - composition, by end use",
,Economy,"GDP - composition, by sector of origin",
,Economy,Agriculture - products,
,Economy,Industries,
,Economy,Industrial production growth rate,
,Economy,Labor force,
,Economy,Labor force - by occupation,
,Economy,Unemployment rate,
,Economy,Population below poverty line,
,Economy,Household income or consumption by percentage share,
,Economy,Distribution of family income - Gini index,
,Economy,Budget,
,Economy,Taxes and other revenues,
,Economy,Budget surplus (+) or deficit (-),
,Economy,Public debt,
,Economy,Fiscal year,
,Economy,Inflation rate (consumer prices),
,Economy,Commercial bank prime lending rate,
,Economy,Stock of narrow money,
,Economy,Stock of broad money,
,Economy,Stock of domestic credit,
,Economy,Market value of publicly traded shares,
,Economy,Current account balance,
,Economy,Exports,
,Economy,Exports - commodities,
,Economy,Exports - partners,
,Economy,Imports,
,Economy,Imports - commodities,
,Economy,Imports - partners,
,Economy,Reserves of foreign exchange and gold,
,Economy,Debt - external,
,Economy,Stock of direct foreign investment - at home,
,Economy,Stock of direct foreign investment - abroad,
,Economy,Exchange rates,
,Energy,Electricity - production,
,Energy,Electricity - consumption,
,Energy,Electricity - exports,
,Energy,Electricity - imports,
,Energy,Electricity - installed generating capacity,
,Energy,Electricity - from fossil fuels,
,Energy,Electricity - from nuclear fuels,
,Energy,Electricity - from hydroelectric plants,
,Energy,Electricity - from other renewable sources,
,Energy,Crude oil - production,
,Energy,Crude oil - exports,
,Energy,Crude oil - imports,
,Energy,Crude oil - proved reserves,
,Energy,Refined petroleum products - production,
,Energy,Refined petroleum products - consumption,
,Energy,Refined petroleum products - exports,
,Energy,Refined petroleum products - imports,
,Energy,Natural gas - production,
,Energy,Natural gas - consumption,
,Energy,Natural gas - exports,
,Energy,Natural gas - imports,
,Energy,Natural gas - proved reserves,
,Energy,Carbon dioxide emissions from consumption of energy,
,Communications,Telephones - fixed lines,
,Communications,Telephones - mobile cellular,
,Communications,Telephone system,
,Communications,Broadcast media,
,Communications,Radio broadcast stations,
,Communications,Television broadcast stations,
,Communications,Internet country code,
,Communications,Internet users,
,Transportation,Airports,
,Transportation,Airports - with paved runways,
,Transportation,Airports - with unpaved runways,
,Transportation,Heliports,
,Transportation,Pipelines,
,Transportation,Railways,
,Transportation,Roadways,
,Transportation,Waterways,
,Transportation,Merchant marine,
,Transportation,Ports and terminals,
,Military,Military branches,
,Military,Military service age and obligation,
,Military,Manpower available for military service,
,Military,Manpower fit for military service,
,Military,Manpower reaching militarily significant age annually,
,Military,Military expenditures,
,Transnational Issues,Disputes - international,
,Transnational Issues,Refugees and internally displaced persons,
,Transnational Issues,Illicit drugs,
